ID,Term,Topic #1,Topic #2,Topic #3,Topic #4,Synonym #1,Synonym #2,Synonym #3,Synonym #4,Synonym #5,Synonym #6,Synonym #7,Synonym #8,Synonym #9,Synonym #10,Synonym #11,Synonym #12,Definition #1,Definition #2,Definition #3,Definition #4
6273,mountain ecosystem,Biological diversity,Land and Agriculture,,,montane ecosystem,,,,,,,,,,,,"Ecosystems found on high-mountains at low latitudes. Mountain ecosystems are very vulnerable. They are increasingly sensitive to soil erosion, landslide and rapid loss of habitat and genetic diversity. Widespread poverty and an increase in the numbers of mountain inhabitants lead to deforestation, cultivation of marginal lands, excessive livestock grazing, loss of biomass cover and other forms of environmental degradation. (Source: WRIGHT)",,,
6419,glacier,Climate and Atmosphere,,,,,,,,,,,,,,,,"Slow moving masses of ice which have accumulated either on mountains or in polar regions. They are found where warm, moist air or warm water meets cold air or water. They move, influenced by the force of gravity and the pressure of the ice, above the underlying slush layers and slide downhill, eventually melting at lower levels to form rivers or reaching sea-level, where they form ice shelves or fall into the water as icebergs. (Source: GEMET/WRIGHT)",,,
6511,mountain biodiversity,Biological diversity,,,,,,,,,,,,,,,,"Many mountain ecosystems are host to higher species richness and levels of endemism than adjacent lowlands. Mountains at lower altitudes can support exceptional biodiversity, due to compression of a wide range of ecosystems into a relatively short distance. Mountains also often provide islands of suitable habitat, isolated from unfavourable surrounding lowlands. (Source: CBD)",,,
6406,polar ecosystem,Biological diversity,,,,arctic ecosystem,polar ecology,,,,,,,,,,,"The interacting systems of the biological communities and their nonliving environmental surroundings located in the regions where the air temperature is perennially below 10¯ Celsius, usually at and near the North and South Poles. (Source: TOE / DOE / EOC)",,,
6510,polar biodiversity,Biological diversity,,,,arctic biodiversity,,,,,,,,,,,,"The variability among living organism withing the polar ecosystem. Physical characteristics important for structuring Arctic biodiversity include extreme seasonality with dramatic intra-annual variation in insolation, generally cool summers, presence of permafrost resulting in unusual landforms, and annual to multi-year sea-ice cover. (Source: conservation of Arctic Flora and Fauna)",,,
6061,semi-arid ecosystem,Climate and Atmosphere,Biological diversity,Land and Agriculture,Land and Agriculture,,,,,,,,,,,,,The interacting system of a biological community and its non-living environmental surroundings in regions that have between 10 to 20 inches of rainfall and are capable of sustaining some grasses and shrubs but not woodland. (Source: GEMET/TOE / DOE),,,
6509,tropical ecosystem,Biological diversity,,,,,,,,,,,,,,,,The interacting system of a biological community and its non-living environmental surroundings in the land and water of the equatorial region between the Tropic of Cancer and the Tropic of Capricorn. (Source: GEMET/ TOE / ENC),,,
6272,tropical rainforest,Biological diversity,,,,,,,,,,,,,,,,"A vegetation class consisting of tall, close-growing trees, their columnar trunks more or less unbranched in the lower two-thirds, and forming a spreading and frequently flat crown; occurs in areas of high temperature and high rainfall. (Source: GEMET/ MGH)",,,
6148,urban ecosystem,Biological diversity,Land and Agriculture,,,urban area,city,,,,,,,,,,,"Towns and cities viewed as ecosystems, having an input of matter and energy, recycling within the system, and an output of matter and energy into the surroundings. (Source: GEMET/ GILP96)",,,
6299,vulnerable ecosystem,Climate and Atmosphere,Biological diversity,Marine and Freshwater,Marine and Freshwater,,,,,,,,,,,,,"An ecosystem is Vulnerable when the best available evidence indicates that it meets any of the criteria A to E for Vulnerable. It is therefore considered to be at a high risk of collapse (Source: Guidelines for the application of IUCN Red List of Ecosystems Categories and Criteria, 2016)",,,
6508,wetland ecosystem,Biological diversity,Marine and Freshwater,,,wetland biodiveristy,,,,,,,,,,,,"Ecosystems of areas largely inundated with water but offering elevated lands as a habitat for wildlife. This areas include swamps, both seasonal and permanent, marsh, open fresh water, shallow saline lagoons, the estuaries of rivers, floodplains and coastal sand dunes. [...] (Source: GEMET/ GILP96 / WRIGHT)",,,
6271,energy,Climate and Atmosphere,,,,energy production,,,,,,,,,,,,"The capacity to do work; involving thermal energy (heat), radiant energy (light), kinetic energy (motion) or chemical energy; measured in joules. (Source: GEMET/LBC)",,,
6529,conventional energy,Climate and Atmosphere,,,,fossil energy,fossil fuel,,,,,,,,,,,"Power provided by traditional means such as coal, wood, gas, etc., as opposed to alternative energy sources such as solar power, tidal power, wind power, etc. (Source: GEMET/PHC)

",,,
6531,energy efficiency,Climate and Atmosphere,Environmental Governance,,,efficient energy use,,,,,,,,,,,,"Efficient energy use, sometimes simply called energy efficiency, is the goal to reduce the amount of energy required to provide products and services. For example, insulating a home allows a building to use less heating and cooling energy to achieve and maintain a comfortable temperature. Installing fluorescent lights, LED lights or natural skylights reduces the amount of energy required to attain the same level of illumination compared with using traditional incandescent light bulbs. Improvements in energy efficiency are generally achieved by adopting a more efficient technology or production process or by application of commonly accepted methods to reduce energy losses. (Source:Wikipedia)",,,
6534,energy installation,Biological diversity,,,,electrical grid,energy distribution system,electric line,power line,overhead power line,,,,,,,,"Any publicly or privately organized setup in which usable power such as electricity is delivered to homes and businesses. (Source: GEMET/Random House Webster?s Unabridged Dictionary, 1997)",,,
6256,nuclear energy,Climate and Atmosphere,,,,,,,,,,,,,,,,Energy released by nuclear fission or nuclear fusion. (Source: GEMET/MGH),,,
6267,renewable energy,Climate and Atmosphere,,,,alternative energy,clean energy,non-conventional energy,sustainable energy,green power,modern energy,,,,,,,"Energy deriving from sources that do not rely on fuels of which there are only finite stocks. The most widely used renewable source is hydroelectric power; other renewable sources are biomass energy, solar energy, tidal energy, wave energy, and wind energy. (Source: GEMET/UVAROV) ",,,
6253,biofuel,Climate and Atmosphere,Biological diversity,Land and Agriculture,Land and Agriculture,bioenergy,biodiesel,bioethanol,biogas,biomethane,,,,,,,,"A gaseous, liquid, or solid fuel that contains an energy content derived from a biological source.[...] (Source: GEMET/DICCHE)",,,
6507,geothermal energy,Climate and Atmosphere,,,,,,,,,,,,,,,,"An energy produced by tapping the earth's internal heat. At present, the only available technologies to do this are those that extract heat from hydrothermal convection systems, where water or steam transfer the heat from the deeper part of the earth to the areas where the energy can be tapped. The amount of pollutants found in geothermal vary from area to area but may contain arsenic, boron, selenium, lead, cadmium, and fluorides. They also may contain hydrogen sulphide, mercury, ammonia, radon, carbon dioxide, and methane. (Source: GEMET/KOREN)",,,
6285,hydroelectric energy,Climate and Atmosphere,Marine and Freshwater,,,hydropower generation,hydroelectricity,hydropower,hydroelectric energy,,,,,,,,,"The free, renewable source of energy provided by falling water driven through turbines. Hydropower is the most important of the regenerable energy sources because of its highest efficiency at the energy conversion. There are two types of hydroelectric power plants: a) run-of-river power plants for the use of affluent water; b) storage power plants (power stations with reservoir) where the influx can be regulated with the help of a reservoir [...]. (Source: GEMET/PORT / PHC / PZ)",,,
6260,dam,Marine and Freshwater,,,,,,,,,,,,,,,,Structure constructed across a watercourse or stream channel. (Source: GEMET/LANDY),,,
6506,solar energy,Climate and Atmosphere,,,,photovoltaic,photovoltaics,solar,solar power,PV,,,,,,,,The energy transmitted from the sun in the form of electromagnetic radiation. The most successful examples of energy extraction from the sun so far are solar cells and solar collectors used to heat water. (Source: GEMET/MGH / ALL),,,
6505,tidal energy,Climate and Atmosphere,Marine and Freshwater,,,marine current power,marine energy,wave power,tidal power,tidal power station,tidal hydropower,,,,,,,"Mechanical power, which may be converted to electrical power, generated by the rise and fall of ocean tides. Current technology is based on the use of one or more tidal basins, separated from the sea by dams (known as barrages), water passes through hydraulic turbines on its way between the basins and the sea. (Source: GEMET/ALL)",,,
6504,wind energy,Climate and Atmosphere,Land and Agriculture,,,wind power,offshore wind power,wind turbine,,,,,,,,,,"Energy extracted from wind, traditionally in a windmill, but increasingly by more complicated designs including turbines, usually to produce electricity but also for pumping water. (Source: GEMET/BRACK)",,,
6185,environmental damage,Chemicals and Waste,Environmental Governance,,,ecological damage,ecosystem degradation,environmental degradation,environmental depletion,environmental loss,environmental disruption,,,,,,,"Environmental damage or degradation is the deterioration of the environment through depletion of resources such as air, water and soil; the destruction of ecosystems and the extinction of wildlife. It is defined as any change or disturbance to the environment perceived to be deleterious or undesirable. (drafted from Wikipedia)",,,
6541,environmental footprint,Environmental Governance,,,,ecological footprint,carbon footprint,,,,,,,,,,,,,,
6117,environmental impact assessment,Environmental Governance,,,,EIA,environmental impact study,impact assessment,strategic environmental assessment,sustainable appraisal,,,,,,,,1) Evaluation of the effect of a project upon the environment. (Source: GEMET/PHC) 2) A national procedure for evaluating the likely impact of a proposed activity on the environment. (Source: Art. 1 Espoo Convention),"Environmental impact assessment, as a national instrument, shall be undertaken for proposed activities that are likely to have a significant adverse impact on the environment and are subject to a decision of a competent natonal authority (Source: InforMEA based on Rio Principle17)",,
6121,environmental indicator,Environmental Governance,,,,environmental indicator,performance indicator,RIO marker,,,,,,,,,,"A measurement, statistic or value that provides a proximate gauge or evidence of the effects of environmental management programs or of the state or condition of the environment. (Source: GEMET/EPAGLO)","An indicator is a quantitative or qualitative factor or variable that provides a simple and reliable means to measure achievement, to reflect the changes connected to an intervention, or to help assess the performance of a development actor. (Source: OECD-DAC)",,
6209,indicator species,Biological diversity,,,,,,,,,,,,,,,,"An indicator species is a species or group of species chosen as an indicator of, or proxy for, the state of an ecosystem or of a certain process within that ecosystem. Examples include crayfish as indicators of freshwater quality; corals as indicators of marine processes such as siltation, seawater rise and sea temperature fluctuation; peregrine falcons as an indicator of pesticide loads; or native plants as indicators for the presence and impact of alien species. (Source: GEMET)",,,
6503,environmental migration,Climate and Atmosphere,Environmental Governance,,,displaced people,environmental emigration,environmental refugee,environmentally induced migration,displacement,,,,,,,,"Migration of populations as a result of failing ecosystems, vulnerability to natural hazards and gradual climate-driven environmental changes causing poverty and hunger. (draft)",,,
6057,Environmental Rule of Law,Environmental Governance,,,,environmental justice,environmental principle,rule of law,,,,,,,,,,"The 'Rule of Law' refers to a principle of governance in which all persons, institutions and entities, public and private, including the State itself, are accountable to laws that are publicly promulgated, equally enforced and independently adjudicated, and which are consistent with international human rights norms and standards. It requires, as well, measures to ensure adherence to the principles of supremacy of law, equality before the law, accountability to the law, fairness in the application of the law, separation of powers, participation in decision-making, legal certainty, avoidance of arbitrariness and procedural and legal transparency. (Source: Report of the Secretary-General on the Rule of Law and Transitional Justice in Conflict and Post-Conflict Societie (S/2004/616); 'Environmental rule of law' integrates the critical environmental needs with the essential elements of the rule of law, and provides the basis for reforming environmental governance. It prioritizes environmental sustainability by connecting it with fundamental rights and obligations. It implicitly reflects universal moral values and ethical norms of behaviour, and it provides a foundation for environmental rights and obligations. Without environmental rule of law and the enforcement of legal rights and obligations, environmental governance may be arbitrary, that is, discretionary, subjective, and unpredictable. (Source: UNEP)",,,
5988,access to information,Environmental Governance,,,,transparency,access-to-information,,,,,,,,,,,"Environmental issues are best handled with the participation of all concerned citizens, at the relevant level. At the national level, each individual shall have appropriate access to information concerning the environment that is held by public authorities, including information on hazardous materials and activities in their communities, and the opportunity to participate in decision-making processes. States shall facilitate and encourage public awareness and participation by making information widely available. Effective access to judicial and administrative proceedings, including redress and remedy, shall be provided (Source: Rio Principle 10)","In carrying out their commitments under Article 4,
paragraph 1(i), the Parties shall:
(a) Promote and facilitate at the national and, as
appropriate, subregional and regional levels, and in
accordance with national laws and regulations, and
within their respective capacities:
(i) The development and implementation of
educational and public awareness programmes on
climate change and its effects;
(ii) Public access to information on climate change
and its effects;[...] (Source: UNFCCC, Art. 6)","In response to a request for environmental information, make such information available to the public, within the framework of national legislation[...] The environmental information [...] shall be made available as soon as possible [...] (Source: Aarhus Convention, Art. 4)","The ability, right and permission to approach and use, or the general availability of, resources that convey knowledge. (Source: GEMET/RHW) "
6229,public awareness,Environmental Governance,,,,awareness rising,dialogue,media,outreach,,,,,,,,,"Improvement of the public understanding of environmental issues with various aims including to build environmental awareness, and get public, finanical and/or scientific support for solving issues. (Source: Aichi Target 1)",,,
6354,social media,Environmental Governance,,,,modern communication tools,,,,,,,,,,,,"Refers to internet-based applications that allow people to create networks, in order to  share or exchange information. In the context of environment, social media are relevant with regard to communication, awareness rising and capacity building (e.g. e-learning tools). (Source: drafted)",,,
6225,access to justice,Environmental Governance,,,,access-to-justice,,,,,,,,,,,,"Access to Justice exists if people, notably poor and vulnerable, suffering from injustices have the ability to make their grievances be listened to and to obtain proper treatment of their grievances by state or non-state institutions leading to redress of those injustices on the basis of rules or principles of state law, religious law or customary law in accordance with the rule of law. (Source: Van Vollenhoven Institute, Universiteit Leiden)",The right of citizens to access to the organs of the governments where justice is administered. (Source: GEMET/BLACK) ,"[...] Effective access to judicial and administrative proceedings, including redress and remedy, shall be provided (Source: Rio Principle 10)",
6038,standing to sue,Environmental Governance,,,,locus standi,,,,,,,,,,,,"A party's right to make a legal claim or seek judicial enforcement of a duty or right. (Source: Black's Law Dictionary, 2007)",,,
5979,climate justice,Climate and Atmosphere,Environmental Governance,,,,,,,,,,,,,,,"Climate justice is a term used for framing global warming as an ethical and political issue, rather than one that is purely environmental or physical in nature. This is done by relating the effects of climate change to concepts of justice, particularly environmental justice and social justice and by examining issues such as equality, human rights; collective rights, and the historical responsibilities for climate. (Source: Wikipedia)",,,
6097,common but differentiated responsibilities,Environmental Governance,,,,different national circumstances,CBDR,,,,,,,,,,,"'States shall cooperate in a spirit of global partnership to conserve, protect and restore the health and integrity of the Earth's ecosystem. In view of the different contributions to global environmental degradation, States have common but differentiated responsibilities. The developed countries acknowledge the responsibility that they bear in the international pursuit to sustainable development in view of the pressures their societies place on the global environment and of the technologies and financial resources they command'.(Source: Rio Principle 7)","'The Parties should protect the climate system for the benefit of present and future generations of humankind, on the basis of equity and in accordance with their common but differentiated responsibilities and respective capabilities'. (Source: UNFCCC, Art. 3, 1992)",,
6103,compliance,Environmental Governance,,,,,,,,,,,,,,,,"'Compliance' means the fulfilment by the contracting parties of their obligations under a multilateral environmental agreement and any amendments to the multilateral environmental agreement (Source: Guidelines on Compliance with and Enforcement of MEAs, 2002)","The systems adopted under MEAs to promote compliance (e.g. UNFCCC compliance refers to a country/company/ individual fulfilment of his emissions and reporting commitments). The components of compliance mechanisms can be analysed into four categories: a) performance information; b) multilateral institutional procedures; c) non-compliance response measures; and d) dispute settlement procedures. (Source: Compliance mechanisms under selected MEAs, 2008 and Glossary of Int. Climate Policy Terms, Koch et al./HIIE, 2001)",,
6494,compliance mechanism,Environmental Governance,,,,compliance measure,non-compliance mechanism,non-compliance procedure,non-compliance response measure,,,,,,,,,"Measures to respond to non-compliance are components of a compliance mechanism that is adopted under the respective MEA to promote compliance  (Source: Compliance Mechanisms under selected MEAs, UNEP, 2007) ","The systems adopted under MEAs to promote compliance (e.g. UNFCCC compliance refers to a country/company/ individual fulfilment of his emissions and reporting commitments). The components of such compliance mechanisms can be analysed into four categories: a) performance information; b) multilateral institutional procedures; c) non-compliance response measures; and d) dispute settlement procedures. (Source: Compliance mechanisms under selected MEAs, 2008; and Glossary of Int. Climate Policy Terms, Koch et al./HIIE, 2001)",,
6266,dispute settlement,Environmental Governance,,,,dispute resolution,,,,,,,,,,,,"The concept referst to provisions [in the convention text] for the settlement of disputes among Parties, based on standard wording used in other treaty contexts, with a process for compulsory, binding arbitration and conciliation. However, while the Parties are bound to follow the process, generally they are not bound to accept decision outcomes (Source: MEA Negotiator's Handbook, 2007)",,,
6304,alternative dispute resolution,Environmental Governance,,,,ADR,,,,,,,,,,,, A procedure for settling a dispute by means other than litigation. (Source: Black's Law Dictionary),,,
6306,arbitration,Environmental Governance,,,,,,,,,,,,,,,, A method of dispute resolution involving one or more neutral third parties who are usually agreed to by the disputing partners and whose decision is binding (Source: Black's Law Dictionary),,,
6308,consultation,Environmental Governance,,,,,,,,,,,,,,,,"The act of asking the advice or opinion of someone, which is in the context of International Law an interactive method by which states seek to prevent or resolve disputes (Source: Black's Law Dictionary). During negotiation process consultations help to find consense between MEA parties (Source: Guide for Negotiators of Multilateral Environmental Agreements).",,,
6307,mediation,Environmental Governance,,,,conciliation,,,,,,,,,,,,"Mediation is facilitated negotiation in which a skilled, impartial third party seeks to enhance negotiations between parties to a conflict [...] by improving communication, identifying interests, and
exploring possibilities for a mutually agreeable resolution. The disputants remain responsible for negotiating a
settlement [...] (Source: Judicial Handbook on Environmental Law, UNEP, 2005)",,,
6305,litigation,Environmental Governance,,,,judicial settlement,,,,,,,,,,,,The process of carrying on a lawsuit - with regard to international law - at a tribunal or court which is mandated to in the respective international agreement (i.e. the International Tribunal for the Law of the Sea for the United Nations Convention on the Law of the Sea)(Source: drafted from Black's Law Dictionary),,,
6381,constitutional law,Environmental Governance,,,,constitution,,,,,,,,,,,,"(1) The body of law deriving from a constitution (e.g. the US Constitution); (2) the body of legal rules that determine the constitution of a state with an unwritten constitution; (3) the field of law dealing with aspects of constitutional provisions, such as restrictions of government powers and guarantees of rights. (Source: Black's Law Dictionary, 2007)",,,
6235,customary law,Environmental Governance,,,,community protocol,community right,existing right,traditional right,vested right,custom law,consuetudinary law,,,,,,"Law consisting of customs that are accepted as legal requirements or obligatory rules of conduct; practices and beliefs that are so vital and intrinsic a part of a social and economic system that they are treated as if they were laws (Source: Blacks's Law Dictionary, 2007)",,,
6242,enforcement,Environmental Governance,,,,,,,,,,,,,,,,"Range of procedures and actions taken by a state and it's competent authorities to ensure that persons or organizations failing to comply with laws or regulations are brought back into compliance or punished through appropriate action. (Source: Glossary of terms for Negotiators of MEAs, 2007)","The execution, carrying out or putting into effect an order, regulation, law or official decree. (Source:GEMET/BLD)",,
6018,penalty,Environmental Governance,,,,,,,,,,,,,,,,"(...) Appropriate and proportionate penalties for environmental law violations (...) encourage compliance by raising the cost of non-compliance above that of compliance. For environmental crime, additional deterrent effect can be obtained through sanctions such as imprisonment, fines, confiscation of equipment and other materials, disbarment from practice or trade and confiscation of the proceeds of environmental crime. Remedial costs should be imposed such as those for redressing environmental damage, loss of use of natural resources and harm from pollution and recovery of costs of remediation, restoration or mitigation. (Source: Guidelines on Compliance with and enforcement of MEAs, 2001)","Usually a civil penalty, a fine is assessed for a violation of a statute or regulation (i.e. for a manufacturer for exceeding pollution limits) (Source: draft based on Black's Law Dictionary, 2007)",,
6062,sanction,Environmental Governance,,,,fine,,,,,,,,,,,,"A penalty or coersive measure that results from failure to comply with the law, rule or order (Source: Black's Law Dictionary, 2007)",,,
6052,human rights,Environmental Governance,,,,,,,,,,,,,,,,"Human rights are rights inherent to all human beings, whatever our nationality, place of residence, sex, national or ethnic origin, colour, religion, language, or any other status. We are all equally entitled to our human rights Universal human rights are often expressed and guaranteed by law, in the forms of treaties, customary international law , general principles and other sources of international law. International human rights law lays down obligations of Governments to act in certain ways or to refrain from certain acts, in order to promote and protect human rights and fundamental freedoms of individuals or groups. (Source: www.ohrchr.org)","The fundamental rights that humans have by the fact of being human, and that are neither created nor can be abrogated by any government. Supported by several international conventions and treaties (such as the United Nation's Universal Declaration of Human rights in 1948), these include cultural, economic, and political rights, such as right to life, liberty, education and equality before law, and right of association, belief, free speech, information, religion, movement, and nationality. Promulgation of these rights is not binding on any country, but they serve as a standard of concern for people and form the basis of many modern national constitutions. (Source: www.businessdictionary.com)",,
6300,integration principle,Environmental Governance,,,,mainstreaming,,,,,,,,,,,,"Integration of sustainable development objectives into the development process, and thus into the policy definition and implementation of various economic and social sectors (Sources: Stockholm Declaration, 1972; Rio Declaration, 1992; EU, Treaty of Maastrict, Art. 2; The Treaty of the European Community, Art. 6.)",,,
6283,international agreement,Environmental Governance,,,,MEA,convention,environmental accord,framework convention,legally binding instrument,multilateral environmental agreement,treaty,,,,,,"Agreements concluded between states in written form and governed by international law, whether embodied in a single instrument or in two or more related instruments, and whatever its particular designation. (Vienna Convention on the Law of Treaties)",,,
6140,acceptance,Environmental Governance,,,,approval,,,,,,,,,,,,"The instruments of ?acceptance? or ?approval? of a treaty have the same legal effect as ratification and consequently express the consent of a state to be bound by a treaty. In the practice of certain states, acceptance and approval have been used instead of ratification when, at a national level, constitutional law does not require the treaty to be ratified by the head of state. (Source: Vienna Convention on the Law of Treaties 1969, Arts.2 (1) (b) and 14 (2))",,,
6010,accession,Environmental Governance,,,,,,,,,,,,,,,,"Accession is the act whereby a state accepts the offer or the opportunity to become a party to a treaty already negotiated and signed by other states. It has the same legal effect as ratification. Accession usually occurs after the treaty has entered into force. The Secretary-General of the United Nations, in his function as depositary, has also accepted accessions to some conventions before their entry into force. The conditions under which accession may occur and the procedure involved depend on the provisions of the treaty. A treaty might provide for the accession of all other states or for a limited and defined number of states. In the absence of such a provision, accession can only occur where the negotiating states were agreed or subsequently agree on it in the case of the state in question.ˇ(Source: Arts.2 (1) (b) and 15, Vienna Convention on the Law of Treaties 1969)",,,
6287,adoption,Environmental Governance,,,,,,,,,,,,,,,,"Adoption is the formal act by which the form and the content of a proposed treaty text are established by the negotiating parties. (Source: Art.9, Vienna Convention of the Law of Treaties 1969)",,,
6346,advisory body,Environmental Governance,,,,scientific council,scientific panel,,,,,,,,,,,"Institutional bodies or committees that advise the Parties to MEAs. The first type is open to representatives from all Parties, and the second is a small expert group. Smaller bodies are usually established to provide specific technical advice to MEAs. Some notable examples include the Science Policy Interface or Committee on Science and Technology (UNCCD), the scientific and technical advisory bodies to CITES, PIC, Ramsar, and Ozone Conventions. In such cases where only a limited number of experts are invited to participate, criteria for invitations usually include strict stipulations for regional representation. (Source: http://www.un.org/earthwatch/about/docs/sciadv2p1.htm)",,,
6384,committee,Environmental Governance,,,,,,,,,,,,,,,,"Subset of a plenary, open to all parties, established to perform particular tasks (e.g. drafting committee), address a particular issue, or a particular set of agenda items (then equivalent to a working group). Committees make recommendations to the plenary. (Source: Glossary of terms for Negotiators of MEAs, 2007)",,,
6383,committee of the whole,Environmental Governance,,,,,,,,,,,,,,,,"Sometimes established by a COP to assist in the negotiating process for a legally binding instrument (e. a new protocol). It has the same membership as the COP, but a different bureau. When it has finished its work, it makes recommendations to the COP, which finalizes and then adopts the text. (Source: InforMEA)",,,
6223,compliance committee,Environmental Governance,,,,,,,,,,,,,,,,A committee mandated to review compliance with the provisions of an international agreement. The powers of compliance committees vary according to each agreement. (Source: InforMEA) ,,,
6352,standing committee,Environmental Governance,,,,,,,,,,,,,,,,"A committee established by the Conference of the Parties, which performs a variety of functions within the policy agreed to by the Conference. It is responsible for providing policy guidance to the Secretariat concerning the implementation of the Convention and for overseeing the management of the Secretariat's budget. It coordinates and oversees, where required, the work of other committees and working groups; and carries out tasks given to it by the Conference of the Parties and drafts resolutions for consideration by the Conference (i.e. CITES). (Source: InforMEA)",,,
6351,subsidiary body,Environmental Governance,,,,"subsidary body on scientific, technical and technologcal advice",subsidiary body on implementation,SBSTA,SBSTTA,,,,,,,,,"In general terms, two types of subsidiary bodies are created to advise the Parties to MEAs. The first type is open to representatives from all Parties, and the second is a small expert group. Smaller bodies are usually established to provide specific technical advice to MEAs. Some notable examples include the scientific and technical advisory bodies to CITES, PIC, Ramsar, and Ozone Conventions. In such cases where only a limited number of experts are invited to participate, criteria for invitations usually include strict stipulations for regional representation. ( Source: http://www.un.org/earthwatch/about/docs/sciadv2p1.htm)",,,
6388,amendment,Environmental Governance,,,,adjustment,,,,,,,,,,,,"The term 'amendment' refers to the formal alteration of treaty provisions affecting all the parties to the particular agreement. Such alterations must be effected with the same formalities that attended the original formation of the treaty. Many multilateral treaties lay down specific requirements to be satisfied for amendments to be adopted. In the absence of such provisions, amendments require the consent of all the parties. (Source: Art.40, Vienna Convention of the Law of Treaties 1969)",,,
6387,amendment procedure,Environmental Governance,,,,,,,,,,,,,,,,"Amendment procedures are mechanisms provided for the modification of the text of a treaty. They stipulate how such a modification can be proposed, adopted and enter into force. (Draft)",,,
6386,annex,Environmental Governance,,,,regional annex,,,,,,,,,,,,"Annexes are additions that are attached to a record or document. In treaty law they form an integral part of a Convention and, unless expressly provided otherwise, a reference to the Convention also constitutes a reference to its annexes. (Source: drafted)",,,
5973,appendix,Environmental Governance,,,,list,,,,,,,,,,,,"An Appendix, list, inventory includes items that are subject of the conventions' provisions. That can be species, sites, and chemicals) (drafted)",Appendices to the Convention are lists of species afforded different levels of protection from over-exploitation. (Source: CITES) (also applicable to CMS) ,,
6380,de-listing,Biological diversity,Environmental Governance,,,,,,,,,,,,,,,"Removing items (species, sites, chemicals) from an appendix/list, because they no longer meet the criteria for designation. (Source: InforMEA)",,,
6367,nomination,Environmental Governance,,,,designation,,,,,,,,,,,,"Nomination or Designation of items subject to the respective convention (i.e. species, protected areas, wetlands, chemicals).  (Source: drafted)",,,
6385,bilateral agreement,Environmental Governance,,,,bilateral treaty,,,,,,,,,,,,"A generic term for treaties, conventions, protocols, and other binding instruments. This term is usually applied to instruments of a geographic scope between two states). (Source: InforMEA)",,,
6149,budget,Environmental Governance,,,,budgetary resources,financial provision,financial rule,,,,,,,,,,"A balance sheet or statement of estimated receipts and expenditures. A plan for the coordination of resource and expenditures. The amount of money that is available for, required for, or assigned to a particular purpose. (Source: GEMET/ WESTS). The programmatic use of an [institution's] spending and revenue-generating activities to influence the economy and achieve specific objectives. (Source: GEMET/MGHME) ","In the context of Multilateral Environmental Agreements the budget refers to contributions of Parties and other sources of revenues as well as expenditures to achieve the respective goals of the convention. Rules provide that the secretariat must report to the COP on the administrative and budgetary implications of all substantive agenda items (Source:MEA Negotiator's Handbook, 2007)",,
6311,bureau,Environmental Governance,,,,,,,,,,,,,,,,"A body established to direct the work of the COP. It consists of representatives of the regional groups. In general, it includes the President of the COP, the Vice-Presidents and the Rapporteur. Under various MEAs its composition may differ. Sometimes also subsidiary bodies have a Bureau. (cf. Rule 22 of the Rules of Procedure of UNFCCC) (Source: InforMEA)",,,
6382,Conference of the Parties,Environmental Governance,,,,COP,MOP,meeting of the parties,meeting of the signatories,plenary,,,,,,,,"One of the designations for the main negotiating body under an internatonal agreement. The COP is a policy-making body that meets periodically to take stock of implementation of the agreement and adopt decisions, resolutions and recommendations for the future implementation of the agreement. (Source: Glossary of terms for Negotiators of MEAs 2007 and InforMEA) ",,,
6379,decision,Environmental Governance,,,,,,,,,,,,,,,,"Decisions represent a decision of the Parties, adopted at a Meeting of the Conference of the Parties, containing recommendations to Parties or instructions to a specific committee or the Secretariat. They are typically intended to remain in effect for a short period only, usually until a particular task has been completed. Decisions may, for example, request a report to be submitted to the Meeting of the Conference of the Parties following that at which they were adopted, and so would remain in effect from one Meeting of the Conference of the Parties to the next. (Source: CMS)",Formal expression of the will of a governing body of an international organization or international agreement. Its legal status under international law is to be determined by the mandate given to the body adopting the decision. (Source:InforMEA),,
6371,extraordinary Conference of the Parties,Environmental Governance,,,,,,,,,,,,,,,,A conference of the Parties held outside the normal scheduled cycle of meetings of the Conference of the Parties. (Source: InforMEA),,,
6363,objection,Environmental Governance,,,,,,,,,,,,,,,,"An oral or written statement by which a delegation informs a meeting that it objects (Source: Glossary of terms for Negotiators of MEAs, 2007) ",,,
6221,recommendation,Environmental Governance,,,,,,,,,,,,,,,,"The formal expression, in an advisory nature, of the will of the governing body of an international organization or international agreement. A recommendation is not binding. (Source: InforMEA)",,,
6220,resolution,Chemicals and Waste,Environmental Governance,,,,,,,,,,,,,,,The formal expression of the will of a governing body of an international organization or international agreement. Its legal status under international law is to be determined by the mandate given to the body adopting the resolution. The names given to such resolution may vary under treaties. (Source: InforMEA),,,
6378,depository,Environmental Governance,,,,depositary,,,,,,,,,,,,"The depository collects information about participant's signature, ratification, acceptance, approval, accession and withdrawal. It should provide information about the date on which the convention will come into force in accordance with its provisions, as well as provide information about amendments, new annexes and protocols adopted with respect to the convention. (draft based on Barcelona Convention Art. 29 - responsibilities of the depositary)",,,
6373,entry into force,Environmental Governance,,,,entry into effect,coming into force,,,,,,,,,,,"Coming into legal effect of an international agreement, i.e. time at which an international agreement becomes legally binding for the States that have ratified it or acceded to it or otherwise expressed their consent to be bound by the agreement. (Source: InforMEA)",,,
6493,exemption,Environmental Governance,,,,,,,,,,,,,,,,An exclusion from the scope of a convention. (Source: CITES),,,
